Category,Max Online Reviews,Max Offline Reviews,Missed Traffic Gap
chiropractor,23493,744,22749
fine dining restaurant,27225,10444,16781
designer boutique,6921,672,6249
used car dealer,6617,432,6185
custom jewelry designer,9181,4144,5037
pet shop,4977,618,4359
modular furniture studio,4558,337,4221
interior designer,3681,185,3496
premium bike modification,4777,1568,3209
car detailing studio,1942,290,1652
