Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Reviews,Has_Website,Has_Phone
Nashik Road,modular furniture studio,Shri Shivshakti Enterprises,079722 21816,,5.0,2.0,2,False,True
Nashik Road,modular furniture studio,Khodiyar Kitchen Point,090815 63104,,5.0,1.0,1,False,True
Nashik Road,modular furniture studio,Chaudhari Kitchen Trolley And Furniture,092846 36502,,5.0,3.0,3,False,True
Nashik Road,modular furniture studio,CALIBER ENTERPRISES,070284 45898,,5.0,15.0,15,False,True
Nashik Road,modular furniture studio,SAI MODULAR KITCHEN & FURNITURE,0788 797 4761,,5.0,10.0,10,False,True
Nashik Road,physiotherapist,Dr.Durriya J.Patanwala,094048 32852,,5.0,3.0,3,False,True
Nashik Road,physiotherapist,Addicure Physiotherapy clinic,092840 12280,,5.0,49.0,49,False,True
Nashik Road,physiotherapist,VARADHAST Holistic Health Clinic,098908 20015,,5.0,3.0,3,False,True
Nashik Road,physiotherapist,"Dr. Deepa Matwad | Physiotherapy Clinic, Nashik |",077410 58101,,5.0,21.0,21,False,True
Nashik Road,physiotherapist,Dr. Puri's Sparsh Advanced Physiotherapy Clinic And Rehabilitation Center,099308 73007,,5.0,6.0,6,False,True
Nashik Road,physiotherapist,TIA'S PHYSIOCARE,077088 91611,,5.0,3.0,3,False,True
Nashik Road,physiotherapist,Dr Urwashi Physiotherapy Clinic,073784 44156,,5.0,41.0,41,False,True
Nashik Road,physiotherapist,DR SHANTANU'S SUPPERRTECH PHYSIOTHERAPY AND SPORTS REHABILITATION,073859 45001,,5.0,20.0,20,False,True
Nashik Road,physiotherapist,Dr Subhash Sawant,094239 12978,,5.0,2.0,2,False,True
Nashik Road,physiotherapist,Dr. Gholap Physiotherapy Clinic,098601 72195,,5.0,45.0,45,False,True
Nashik Road,physiotherapist,Dr Priya's Physiotherapy Clinic,093735 78307,,5.0,2.0,2,False,True
Nashik Road,chiropractor,Shadab's Spine Care,086054 38252,,5.0,12.0,12,False,True
Nashik Road,physiotherapist,Sarvang Physiotherapy Clinic,097636 75557,,5.0,29.0,29,False,True
Nashik Road,physiotherapist,GOOD HEALTH PHYSIOTHERAPY CLINIC,073508 07477,,5.0,37.0,37,False,True
Nashik Road,physiotherapist,"Aapla Physio seva Kendra, nashik (Physiotherapy care & Patient Care)",073787 33714,,5.0,6.0,6,False,True
Nashik Road,physiotherapist,Dr. Rushika’s Physiotherapy Clinic,074981 91330,,5.0,32.0,32,False,True
Nashik Road,physiotherapist,Dr.Ankit Singh,081808 07111,,5.0,12.0,12,False,True
Nashik Road,physiotherapist,Dr. Sakshi Nandkumar Nandurdikar (Physiotherapist,091122 23374,,5.0,7.0,7,False,True
Nashik Road,physiotherapist,Relief physiotherapy clinic,086230 54785,,5.0,20.0,20,False,True
Nashik Road,physiotherapist,AATMA MALIK PHYSIOTHERAPY,095794 56393,,5.0,1.0,1,False,True
Nashik Road,physiotherapist,physiotherapy clinic,079724 86754,,5.0,1.0,1,False,True
Nashik Road,physiotherapist,Swasth physiotherapy clinic,082349 49366,,5.0,4.0,4,False,True
Nashik Road,homeopathy clinic,MEDINOVA CLINIC NASHIK,082085 86036,,5.0,26.0,26,False,True
Nashik Road,homeopathy clinic,"Best E Homeopathy and Ayurvedic clinic, Dr. Pandit’s Chaitanya life and health care clinic",070207 99394,,5.0,6.0,6,False,True
Nashik Road,homeopathy clinic,Dr. Khot Sanjeevani Homoeopathy Clinic,095952 16183,,5.0,13.0,13,False,True
Nashik Road,homeopathy clinic,Dr. Wani's Super Specialty Homeopathy Clinic,098227 50441,,5.0,1.0,1,False,True
Nashik Road,homeopathy clinic,Rajnish Homoeopathic Clinic,082374 03780,,5.0,2.0,2,False,True
Nashik Road,homeopathy clinic,Dr Varsha Homeopathy Clinic Varsha K Wagh,098236 29696,,5.0,4.0,4,False,True
Nashik Road,homeopathy clinic,Nimina Homeopathy Clinic,097305 56717,,5.0,4.0,4,False,True
Nashik Road,chiropractor,Healing hand's,091721 34107,,5.0,15.0,15,False,True
Nashik Road,chiropractor,Ayurved Health Clinic & Shopee,0253 402 4621,,5.0,7.0,7,False,True
Nashik Road,chiropractor,Alpha Chiropractic & Massage therapy centre,087932 70453,,5.0,2.0,2,False,True
Nashik Road,modular furniture studio,"Home Decor Modular Kitchen, Furniture & Interior",095118 66189,,5.0,9.0,9,False,True
Nashik Road,modular furniture studio,TouchWood Modular Kitchen Trolley & Furniture,073855 33693,,5.0,23.0,23,False,True
Nashik Road,modular furniture studio,SPOT LIGHT INTERIO,088055 55115,,5.0,15.0,15,False,True
Nashik Road,modular furniture studio,The furniture studio,094056 14118,,5.0,2.0,2,False,True
Nashik Road,custom jewelry designer,Yashwant Martand Maind,0253 250 9998,,5.0,4.0,4,False,True
Nashik Road,custom jewelry designer,Jishnu Art Jewellery,095455 01981,,5.0,4.0,4,False,True
Nashik Road,pet shop,Anu Pet,070301 92100,,5.0,1.0,1,False,True
Nashik Road,pet shop,NutriFeathers Bird Food & Feeder,098500 58390,,5.0,4.0,4,False,True
Nashik Road,homeopathy clinic,"Dr.Prachi Chandratres Best Homoeopathic Clinic in Nashik , Best Homeopthy Doctor Nashik",076662 68361,,5.0,2.0,2,False,True
Nashik Road,homeopathy clinic,Homeopathy Clinic,094202 27027,,5.0,2.0,2,False,True
Nashik Road,homeopathy clinic,Global Homeopathy Clinic,077740 33586,,5.0,5.0,5,False,True
Nashik Road,homeopathy clinic,Dr. Kalyani's Sai Homoeopathic Clinic,092092 88429,,5.0,13.0,13,False,True
Nashik Road,homeopathy clinic,The Sanvedna Homeopathy Clinic,083297 78740,,5.0,1.0,1,False,True
Nashik Road,homeopathy clinic,Dr. Patel's Om Homeopathic Clinic,094203 47769,,5.0,24.0,24,False,True
Nashik Road,homeopathy clinic,Datta Homoeopathic clinic,094215 41125,,5.0,1.0,1,False,True
Nashik Road,homeopathy clinic,Dr. Shoaib's Mansuri,087888 90926,,5.0,7.0,7,False,True
Nashik Road,homeopathy clinic,Dr. Sachin Sethi Feelings Clinic,076668 35900,,5.0,14.0,14,False,True
Nashik Road,homeopathy clinic,Dr. Yashali Honrao | Manokaya Homeopathy & Counseling Centre | Best Homeopathy Doctors in Nashik,094239 68715,,5.0,45.0,45,False,True
Nashik Road,homeopathy clinic,Dr Shilpa Kaveeshwar's Homeopathic Clinic,094202 25827,,5.0,50.0,50,False,True
Nashik Road,pet shop,Original Pug Pet House In Nashik,080874 36910,,5.0,2.0,2,False,True
Nashik Road,pet shop,Ruhi's petshop,083810 21235,,5.0,1.0,1,False,True
Nashik Road,designer boutique,Pornima Fashion Designing And Ladies Tailor,099606 00930,,5.0,1.0,1,False,True
Nashik Road,designer boutique,JJ Boutique,080808 66143,,5.0,2.0,2,False,True
Nashik Road,designer boutique,Shree Icchamani Alankar,096898 48870,,5.0,15.0,15,False,True
Nashik Road,designer boutique,Geetus Image Lounge,098223 54888,,5.0,3.0,3,False,True
Nashik Road,designer boutique,Fashion Tailor Mens Wear and cloth store,088579 58816,,5.0,3.0,3,False,True
Nashik Road,designer boutique,Kids Fashion,0253 245 1052,,5.0,1.0,1,False,True
Nashik Road,designer boutique,Women's World,079727 06445,,5.0,24.0,24,False,True
Nashik Road,designer boutique,Simran ladies fasion stores & Matching Centre ( Waheguru Enterprises).,077090 74445,,5.0,6.0,6,False,True
Nashik Road,designer boutique,Arusha fashion and boutique,072190 39402,,5.0,1.0,1,False,True
Nashik Road,unisex salon,King And Queen Family Salon,091683 02515,,5.0,3.0,3,False,True
Nashik Road,unisex salon,Charming Glow Beauty Salon Only Ladies,082618 06885,,5.0,11.0,11,False,True
Nashik Road,unisex salon,MAKEOVER BEAUTY PARLOUR,081808 54874,,5.0,3.0,3,False,True
Nashik Road,unisex salon,A V Hair And Beauty Salon,086238 09104,,5.0,2.0,2,False,True
Nashik Road,unisex salon,Priti's Beauty Studio,094210 43901,,5.0,3.0,3,False,True
Nashik Road,premium salon,SHUBHADA BEAUTY PARLOUR,097308 06444,,5.0,5.0,5,False,True
Nashik Road,premium salon,RAKY'S UNISEX SALON,073500 37719,,5.0,36.0,36,False,True
Nashik Road,premium salon,GLAM TOUCH,079728 62398,,5.0,16.0,16,False,True
Nashik Road,premium salon,SHINE AT NINE HAIR AND BEAUTY SALON,087670 30735,,5.0,15.0,15,False,True
Nashik Road,veterinary clinic,Gajanan Pet Clinic,099221 23099,,5.0,3.0,3,False,True
Nashik Road,bridal makeup studio,Ashlesha's Makeup Studio & Academy,075075 70189,,5.0,7.0,7,False,True
Nashik Road,bridal makeup studio,Studio N9 Salon & Academy,099228 22463,,5.0,35.0,35,False,True
Nashik Road,bridal makeup studio,Anaya Makeup Studio & Saloon,096995 60251,,5.0,43.0,43,False,True
Nashik Road,tattoo studio,Naaz tattoo studio and beauty parlour,099109 23258,,5.0,7.0,7,False,True
Nashik Road,tattoo studio,DREAM TATTOO STUDIO,075071 35415,,5.0,34.0,34,False,True
Nashik Road,tattoo studio,Vishal Tatto Studio,097665 02490,,5.0,3.0,3,False,True
Nashik Road,tattoo studio,Ink Strokes Tattoo & Art studio,095738 65795,,5.0,7.0,7,False,True
Nashik Road,unisex salon,Gorgeous Beauty Parlour,088888 82007,,5.0,8.0,8,False,True
Nashik Road,unisex salon,Saptashrungi Beauty Parlour,093594 30493,,5.0,2.0,2,False,True
Nashik Road,unisex salon,Gunpriya's Makeover,093563 80386,,5.0,17.0,17,False,True
Nashik Road,designer boutique,Geetus,077569 30497,,5.0,5.0,5,False,True
Nashik Road,designer boutique,Medhanisha's Fashion Hub,070668 93999,,5.0,6.0,6,False,True
Nashik Road,designer boutique,Fashion Point,098502 46013,,5.0,1.0,1,False,True
Nashik Road,designer boutique,SABA FASHION DESIGNER BOUTIQUE,097658 01824,,5.0,1.0,1,False,True
Nashik Road,designer boutique,Ovi's Boutique,075885 57959,,5.0,18.0,18,False,True
Nashik Road,designer boutique,Anvis Boutique,086689 20766,,5.0,18.0,18,False,True
Nashik Road,bridal makeup studio,Snehal Bridal Makeover,095886 09363,,5.0,16.0,16,False,True
Nashik Road,bridal makeup studio,Swamini Beauty Clinic,083082 69923,,5.0,31.0,31,False,True
Nashik Road,bridal makeup studio,Rutusmakeover & nail studio,094231 81319,,5.0,2.0,2,False,True
Nashik Road,bridal makeup studio,SHIVANI THE MAKE OVER,087664 13633,,5.0,24.0,24,False,True
Nashik Road,bridal makeup studio,Stone makeup studio,098508 88121,,5.0,8.0,8,False,True
Nashik Road,bridal makeup studio,Shree Beauty Hair Makeup Studio,091729 49747,,5.0,7.0,7,False,True
Nashik Road,bridal makeup studio,Mehandi by Mahin | Mehendi artist Nashik,083297 26551,,5.0,12.0,12,False,True
Nashik Road,bridal makeup studio,Salma'z Makeup studio,090232 35890,,5.0,15.0,15,False,True
Nashik Road,bridal makeup studio,BR beuty parlour and meckup artist,093073 94475,,5.0,1.0,1,False,True
Nashik Road,bridal makeup studio,Shri makeover Beauty salon and academy,087668 47089,,5.0,4.0,4,False,True
Nashik Road,boutique architect,Bhushan Jadhav Architect's,097656 33992,,5.0,5.0,5,False,True
Nashik Road,boutique architect,AR Design Studio,088304 18041,,5.0,6.0,6,False,True
Nashik Road,boutique architect,Architect Nilesh Kataria,098907 98608,,5.0,7.0,7,False,True
Nashik Road,boutique architect,RVJ Architects,095525 81530,,5.0,14.0,14,False,True
Nashik Road,boutique architect,Gade Interior,089998 24591,,5.0,14.0,14,False,True
Nashik Road,boutique architect,Space designers,093259 32576,,5.0,25.0,25,False,True
Nashik Road,boutique architect,Vastukala Associates,094209 61457,,5.0,32.0,32,False,True
Nashik Road,boutique architect,WIZVAST Architects,098882 95550,,5.0,8.0,8,False,True
Nashik Road,boutique architect,Aarambha Design Studio,095528 12690,,5.0,21.0,21,False,True
Nashik Road,interior designer,Kalash Sales,094215 40411,,5.0,2.0,2,False,True
Nashik Road,premium bike modification,hemant Motor Works (Bike Builders),098233 15308,,5.0,15.0,15,False,True
Nashik Road,ceramic coating,Detailing Mavens,087964 80909,,5.0,1.0,1,False,True
Nashik Road,car detailing studio,TURBO CAR WASH & DETAILING STUDIO,090218 04844,,5.0,2.0,2,False,True
Nashik Road,car detailing studio,The City Car Care Buffing & Detaling,076666 17315,,5.0,1.0,1,False,True
Nashik Road,car detailing studio,MR. CAR CARE,074983 01005,,5.0,35.0,35,False,True
Nashik Road,nail bar,Rosh Nail Studio,080801 33822,,5.0,28.0,28,False,True
Nashik Road,bridal makeup studio,Pooja Rizani,099601 06086,,5.0,32.0,32,False,True
Nashik Road,bridal makeup studio,Makeover Beauty Studio,098582 75571,,5.0,1.0,1,False,True
Nashik Road,interior designer,JAI DATAR TRADERS,087887 69186,,5.0,12.0,12,False,True
Nashik Road,interior designer,MOSAIC DESIGN STUDIO,072761 18357,,5.0,1.0,1,False,True
Nashik Road,interior designer,Divine Home interiors,089998 00179,,5.0,18.0,18,False,True
Nashik Road,interior designer,tejas jadhav architects,070206 61498,,5.0,2.0,2,False,True
Nashik Road,interior designer,Tatwa interior design studio -Interior Designer |Interior Decorator |Interior Designer Studio in Nashik,098508 79975,,5.0,8.0,8,False,True
Nashik Road,interior designer,Baasuri design studio,070830 64377,,5.0,20.0,20,False,True
Nashik Road,interior designer,ARCHI-MIDAS,091724 89647,,5.0,8.0,8,False,True
Nashik Road,interior designer,S S TRADERS PLYWOOD AND INTERIOR DESIGNER,098232 33832,,5.0,1.0,1,False,True
Nashik Road,used car dealer,Chishti Motors,086685 05529,,5.0,2.0,2,False,True
Nashik Road,used car dealer,Shree Mahalakshmi Cars,094230 04080,,5.0,1.0,1,False,True
Nashik Road,used car dealer,MH 15 Motors,099709 76777,,5.0,21.0,21,False,True
Nashik Road,used car dealer,Bombay Cars,097020 84488,,5.0,4.0,4,False,True
Nashik Road,used car dealer,RAMDAS MOTORS BUY AND SALES PRE-OWNED CARS,087888 63790,,5.0,10.0,10,False,True
Nashik Road,used car dealer,JJS CAR,088888 87806,,5.0,46.0,46,False,True
Nashik Road,used car dealer,Morya Cars Pvt Ltd Nashik Showroom,070660 35000,,5.0,7.0,7,False,True
Nashik Road,used car dealer,MD Motors - The Best Used Car Mall in Nashik,074982 65885,,5.0,2.0,2,False,True
Nashik Road,used car dealer,Highline Motors – Leading Used Car Mall in Nashik,098817 86512,,5.0,4.0,4,False,True
Nashik Road,used car dealer,VIP CAR'S,099755 32068,,5.0,1.0,1,False,True
Nashik Road,used car dealer,Quality Cars - Trusted Used Car Mall in Nashik,074993 87821,,5.0,28.0,28,False,True
Nashik Road,premium bike modification,LAXMI AUTO AND SPARE,077093 16384,,5.0,2.0,2,False,True
Nashik Road,premium bike modification,Krushna Auto Services,078752 32209,,5.0,1.0,1,False,True
Nashik Road,premium bike modification,SK AUTO GARAGE,089998 84073,,5.0,12.0,12,False,True
Nashik Road,premium bike modification,Star Bikers,099752 49835,,5.0,1.0,1,False,True
Nashik Road,chartered accountant,Natesh & Associates,0253 246 6124,,5.0,3.0,3,False,True
Nashik Road,chartered accountant,Amit S. Sharma & Associates,098906 56143,,5.0,4.0,4,False,True
Nashik Road,chartered accountant,"Sachin Shinde & Co, Chartered Accountants",077448 87453,,5.0,4.0,4,False,True
Nashik Road,chartered accountant,CA Shubham Mundada,088307 37375,,5.0,35.0,35,False,True
Nashik Road,chartered accountant,CHINMAY KHAROTE & CO. ( Chartered Accountants ),084461 22248,,5.0,30.0,30,False,True
Nashik Road,used car dealer,Hemant Auto Electricals,090281 85169,,5.0,20.0,20,False,True
Nashik Road,used car dealer,AKASH MOTOR'S,098220 34111,,5.0,3.0,3,False,True
Nashik Road,used car dealer,AUTO MALL,076661 22285,,5.0,4.0,4,False,True
Nashik Road,used car dealer,Saptashrungi automobiles,087675 79959,,5.0,1.0,1,False,True
Nashik Road,used car dealer,Jainam Motors,092268 91433,,5.0,1.0,1,False,True
Nashik Road,used car dealer,GLOBAL AUTO TRADING,084213 70092,,5.0,1.0,1,False,True
Nashik Road,used car dealer,Vaishnavi Autowheels,082089 14150,,5.0,5.0,5,False,True
