Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Reviews,Has_Website,Has_Phone
Nashik Road,bridal makeup studio,Shubhada’S Beauty & makeup studio,070207 99421,,4.9,84.0,84,False,True
Nashik Road,unisex salon,CUTS N BLUSH UNISEX SALON AND MAKEUP STUDIO,077986 30403,,4.5,84.0,84,False,True
Nashik Road,physiotherapist,Dr Gunjal's Shatayu Physiotherapy Clinic | College road branch | Best Physiotherapy Clinic,078881 11050,,5.0,82.0,82,False,True
Nashik Road,car detailing studio,Abhi's Auto Spa,096891 10007,,4.8,81.0,81,False,True
Nashik Road,homeopathy clinic,Bhujbal Superspeciality Homoeopathy clinic and Holistic approach centre,097648 53972,,4.9,77.0,77,False,True
Nashik Road,bridal makeup studio,"Infinity Ladies Beauty Studio (Parlour), Academy and Makeup Artist",099218 03320,,4.4,71.0,71,False,True
Nashik Road,homeopathy clinic,Prasad Homeopathic Clinic,098600 15015,,5.0,71.0,71,False,True
Nashik Road,homeopathy clinic,Kulkarni Homoeopathic Clinic,075883 04966,,5.0,68.0,68,False,True
Nashik Road,dentist,Dr. Karwa's Dental Clinic,097667 85740,,4.9,65.0,65,False,True
Nashik Road,physiotherapist,Datar Rehabilitation Physiotherapy Clinic (DRPC),095612 80199,,4.9,65.0,65,False,True
Nashik Road,dentist,Sanjivani Dental Clinic,077983 53357,,5.0,62.0,62,False,True
Nashik Road,modular furniture studio,JUPITER KITCHEN STUDIO,090215 56643,,5.0,62.0,62,False,True
Nashik Road,tattoo studio,JEET TATTOO STUDIO,096754 71350,,4.9,61.0,61,False,True
Nashik Road,dentist,DENTIQUE- Your Smile Boutique Dental clinic,087934 98989,,5.0,61.0,61,False,True
Nashik Road,physiotherapist,Gurukrupa Physiotherapy Clinic Nashik,097309 86188,,4.9,60.0,60,False,True
Nashik Road,premium salon,Looks HAIR STUDIO Unisex salon,084213 27834,,4.8,59.0,59,False,True
Nashik Road,physiotherapist,Health Plus Physiotherapy & Sports rehab Clinic,098904 42590,,5.0,56.0,56,False,True
Nashik Road,modular furniture studio,Kitchen Studio,099226 37799,,4.6,55.0,55,False,True
Nashik Road,homeopathy clinic,Unicare homoeopathic Clinic - Dr Naqeeb Memon,097646 27867,,4.8,55.0,55,False,True
Nashik Road,dentist,Dr. Gupta Dental Clinic,070209 02899,,5.0,54.0,54,False,True
Nashik Road,dentist,NOVACURE DENTAL CLINIC,080550 88044,,5.0,52.0,52,False,True
