Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik,international school,Podar International School Nashik (ICSE),063664 37901,https://www.podareducation.org/school/nasikicse/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_nashik_icse,4.4,1151
Nashik,international school,Global International School CBSE Nashik - Branch 1,096967 91111,https://www.myglobal.in/,4.8,54
Nashik,international school,Global International School - Top CBSE School in Nashik,096967 91111,https://www.myglobal.in/,4.8,93
