Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik Road,cafe,Ssk Hotel,072768 30810,,4.2,12.0
Nashik Road,cafe,Madhuram Cafe,070203 60933,,4.2,74.0
Nashik Road,cafe,Green Chilly Tadka,,,4.1,56.0
Nashik Road,cafe,VAISHALI VEG & NON VEG FAMILY RESTAURANT,099755 84828,,4.1,502.0
Nashik Road,cafe,R.J's Cafe 4 U,088884 59547,,4.0,43.0
Nashik Road,cafe,Yaahoo Icecream & Snacks,080556 84411,,5.0,9.0
Nashik Road,cafe,Hotel Let'z Eat,,,,
Nashik Road,cafe,MORYA CYBER CAFE AND ONLINE SERVICES,087886 85541,,4.7,6.0
Nashik Road,cafe,Thalipeeth House,098502 64243,,4.4,165.0
Nashik Road,cafe,Chiku's Game Zone And Cyber Cafe,086006 25156,,4.0,4.0
Nashik Road,restro bar,Vaibhav Bar & Restaurant,086003 59839,,3.9,25.0
Nashik Road,restro bar,Hotel Darshan Bar & Restaurant,0253 246 3842,,3.5,239.0
Nashik Road,restro bar,Hotel Mamas Bar And FAMILY Restaurant,,,3.8,339.0
Nashik Road,restro bar,Hotel Shailesh Bar And Restaurant,0253 245 9308,,4.0,29.0
Nashik Road,restro bar,Hotel Lotus Bar & Restaurant,,,4.0,160.0
Nashik Road,restro bar,Hotel SKY Family Restaurant & Bar,088888 62243,,4.1,31.0
Nashik Road,restro bar,THE LIQUOR HOUSE RESTAURANT AND BAR,084689 63618,,4.2,93.0
Nashik Road,restro bar,Vishala Hotel and Bar,,,3.7,52.0
Nashik Road,restro bar,SSK Bar & Restaurant,,,4.3,12.0
Nashik Road,restro bar,Hotel Bhairavi Bar & Restro,,,3.7,180.0
Nashik Road,restro bar,Rasoi Hotel And Bar,,,3.9,96.0
Nashik Road,restro bar,Amol Bar & Restaurant,098236 83656,,3.8,162.0
Nashik Road,restro bar,HOTEL NEW PADMA BAR And RESTAURANT,090969 49999,,3.5,299.0
Nashik Road,restro bar,HOTEL EXPRESS RESTO & BAR,095799 85559,,4.0,404.0
Nashik Road,restro bar,La Terraza The Cafe Bar,,,4.0,164.0
Nashik Road,restro bar,Chiku's family restaurant and bar,,,4.5,14.0
Nashik Road,restro bar,Quarter Pillar Bar and Restaurant,098929 80404,,4.2,55.0
Nashik Road,restro bar,Shashwat Restaurant And Bar,094209 33399,,3.7,107.0
Nashik Road,restro bar,Hotel Satkar Restaurant And Bar,0253 231 6388,,3.6,70.0
Nashik Road,restro bar,Sitara Gokul Restaurant And Bar,0253 231 9158,,3.9,87.0
Nashik Road,restro bar,Hemraj Rest and Bar,,,4.0,185.0
Nashik Road,restro bar,Shack Multi-Cuisine,088888 88853,,4.1,1943.0
Nashik Road,restro bar,Patang restaurant and bar,077220 30040,,4.1,947.0
Nashik Road,restro bar,Flying Monk,095617 05405,,4.0,843.0
Nashik Road,restro bar,Crossroads,,,4.0,239.0
Nashik Road,restro bar,Hotel Vaibhav Bar And Restaurant,097679 83338,,3.7,89.0
Nashik Road,restro bar,Kaka Ka Dhaba,090112 38000,,3.9,5526.0
Nashik Road,restro bar,"Farmaish Restaurant, Open Deck Bar Boutique",,,3.8,180.0
Nashik Road,restro bar,Heera Bar,,,3.2,31.0
Nashik Road,restro bar,Hotel Rasoi,0253 235 1090,,3.9,366.0
Nashik Road,restro bar,Hotel New Poonam Bar & Restaurant,,,3.6,42.0
Nashik Road,restro bar,HOTEL STAR RESTAURANT & BAR,097654 87785,,3.7,82.0
Nashik Road,restro bar,YoYo wines,,,3.9,48.0
Nashik Road,restro bar,Yahoo Hotel Restaurant & Bar Nashik,0253 257 1748,,4.1,4383.0
Nashik Road,restro bar,New Saheba Veg Non Veg Restaurant & Bar,096040 94294,,4.0,117.0
