Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik,restro bar,Shack Multi-Cuisine,088888 88853,,4.1,1943.0
Nashik,restro bar,Hotel Mamas Bar And FAMILY Restaurant,,,3.8,339.0
Nashik,restro bar,Patang restaurant and bar,077220 30040,,4.1,947.0
Nashik,restro bar,K T S Family Restaurant and Bar,,,4.1,134.0
Nashik,restro bar,Quarter Pillar Bar and Restaurant,098929 80404,,4.2,55.0
Nashik,restro bar,Ichamani Snacks And Cold Drinks,92260352111,,4.7,15.0
Nashik,restro bar,Amol Bar & Restaurant,098236 83656,,3.8,162.0
Nashik,restro bar,Flying Monk,095617 05405,,4.0,843.0
Nashik,restro bar,21st Century Restaurant,098220 73030,,4.3,628.0
Nashik,restro bar,HOTEL NEW PADMA BAR And RESTAURANT,090969 49999,,3.5,299.0
Nashik,restro bar,Chiku's family restaurant and bar,,,4.5,14.0
Nashik,restro bar,Royallisto - Restro And Bar,079868 80988,,4.7,44.0
Nashik,restro bar,Hotel Singh Palace,090280 21111,,3.7,83.0
Nashik,restro bar,River Dine Restaurant & Banquet,099232 73444,,4.1,3100.0
Nashik,restro bar,Vicky sagar restaurant and bar,080876 66697,,4.1,175.0
Nashik,restro bar,Hemraj Rest and Bar,,,4.0,185.0
Nashik,restro bar,Hotel Lotus Bar & Restaurant,,,4.0,160.0
Nashik,restro bar,HOTEL Surel Family Restaurant & Bar,0253 247 1356,,3.7,68.0
Nashik,restro bar,Maharaja Restaurant And Bar,,,3.9,163.0
Nashik,restro bar,MEERA BAR & RESTAURANT,,,4.0,426.0
Nashik,restro bar,"Farmaish Restaurant, Open Deck Bar Boutique",,,3.8,180.0
Nashik,restro bar,Sitara Gokul Restaurant And Bar,0253 231 9158,,3.9,87.0
Nashik,restro bar,Yaari Resto & Bar,,,3.0,6.0
Nashik,restro bar,Hotel Mahakrishna Restaurant & Bar,0253 259 3988,,3.9,138.0
Nashik,restro bar,Yahoo Hotel Restaurant & Bar Nashik,0253 257 1748,,4.1,4383.0
Nashik,restro bar,Yaari Resto Bar,,,4.3,62.0
Nashik,restro bar,HOTEL STAR RESTAURANT & BAR,097654 87785,,3.7,82.0
Nashik,restro bar,"Pegasus Global Cuisine - Restaurant, Bar & Banquet By Callisto",090965 11106,,4.4,158.0
Nashik,restro bar,Hotel SKY Family Restaurant & Bar,088888 62243,,4.1,31.0
Nashik,restro bar,Hotel Sahib family Restaurant and Bar,080558 03395,,4.2,32.0
